NLQ,GOLD_ANS,QUESTION_TYPE,GENERATED_ANS,IS_USEFUL,EVAL_REASON
Does Sunita Sen need to provide any data before 14 June?,TRUE,reasoning,Yes. Sunita Sen needs to upload the annotated bibliography and a summary note on historical dialect normalization by 14 June.,True,"The gold answer only requires the boolean value TRUE, meaning that Sunita Sen does need to provide some data before 14 June. The system answer clearly states that she needs to upload specific items by 14 June, which is consistent with the gold answer. Extra detail does not contradict the gold answer, so the system answer is correct and useful."
Has Dr. Michael Bradley published any papers in a journal?,TRUE,multi-hop,Yes.,True,"The system answer 'Yes.' correctly confirms that Dr. Michael Bradley has published papers in a journal, matching the Gold Answer of TRUE."
What dataset is being used for the OCR error cases in the project led by Sunita Sen?,annotated corpus (late-19th-century Bengali and English periodicals segment),multi-hop,The “Chronicling America” and “British Library Digital Collections” datasets are being used for the OCR error cases in the project led by Sunita Sen.,False,"The system answer is incorrect. The correct dataset is the annotated corpus of late-19th-century Bengali and English periodicals, not the “Chronicling America” and “British Library Digital Collections” datasets."
What is the title of Sunita Sen's paper submitted under ID SUB-JOCCH-2019-0187?,Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives,single-hop,A Harmonized NLP Dataset and Documentation Protocol for OCR’d Historical Texts,False,"The system answer gives a different paper title than the gold answer. The correct title is 'Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives,' but the system answered 'A Harmonized NLP Dataset and Documentation Protocol for OCR’d Historical Texts,' so it does not satisfy the user’s question."
Which datasets were reviewed by Dr. Ananya Chatterjee for the JOCCH expectations?,Not available,multi-hop,"National Library of Israel (NLI) YIVO collection, Japanese National Diet Library (NDL) datasets, Chilean National Library (BNCh) datasets, Indian and UK/EU datasets.",False,"The gold answer indicates that the information is not available, but the system answer provides specific dataset names. Since this conflicts with the gold answer and cannot be verified as correct, it is not considered correct or useful."
Did Sunita Sen work on the compliance draft for internal approvals?,TRUE,reasoning,Yes.,True,"The gold answer is TRUE and the system answer 'Yes.' correctly matches this, so it satisfies the user’s question."
What is the submission status of the paper prepared for the internal review meeting on 16 June?,Not available,not available,"The paper prepared for the internal review meeting on 16 June was successfully submitted as a camera-ready manuscript to JCDL 2023. The submission ID is SUB-JCDL-2023-0147, and the submission has passed technical and compliance checks, been officially acknowledged, and is queued for inclusion in the conference proceedings.",False,"The gold answer indicates that the information is not available, but the system answer fabricates a detailed submission status. Therefore, it does not provide the correct information and is not useful."
What dataset is Sunita Sen working on for the internal review meeting?,annotated historical OCR error corpus,multi-hop,"19th-century Bengali-English historical texts (specifically, the annotated historical corpus including Bengali, Urdu, Oriya, and Tamil subcorpora, with detailed archival provenance and annotation logs)",False,"The system answer does not mention the key detail that it is an OCR error corpus. It instead describes 19th-century Bengali-English historical texts and multiple subcorpora, which is different from the specific “annotated historical OCR error corpus” in the gold answer."
Is there a sensitive data/risk assessment and external attestation recommendation task assigned to Ananya Chatterjee?,TRUE,reasoning,Yes.,True,"The system answer 'Yes.' correctly matches the Gold Answer of TRUE, indicating that such a task is assigned to Ananya Chatterjee."
Has the dataset been prepared for submission to a journal?,Not available,not available,Yes.,False,"The gold answer indicates that the information is not available, but the system answer asserts 'Yes', which is incorrect and not supported by the gold answer."
What statuses has the paper 'Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives' passed through?,"Received, Initial checks complete, Under review, Minor Revision Required, Resubmitted, Under review, Accepted with minor revisions, Minor Revision Required, Resubmitted, Accepted pending camera-ready, Camera-ready submitted, Camera-ready received",multi-hop,"The paper ""Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives"" has passed through the following statuses:

1. **Initial Submission to JOCCH** – The manuscript was submitted to the ACM Journal on Computing and Cultural Heritage (JOCCH) and received an acknowledgment of receipt and initial technical check (see emails dated 10th June 2019, 25th June 2019, and 3rd August 2019).

2. **First-Round Peer Review – Minor Revision Required** – After peer review, the paper received a decision of ""Minor Revision Required"" with specific revision requests (see email dated 3rd August 2019).

3. **Revision and Resubmission** – The authors revised the manuscript, addressed reviewer comments, and resubmitted the paper (see emails from 4th August 2019 to 15th August 2019).

4. **Second Editorial Check and Peer Review** – The revised manuscript passed editorial checks and was sent for a second round of peer review (see email dated 16th September 2019).

5. **Acceptance Pending Minor Revisions** – The paper was accepted pending minor revisions, with requests for small clarifications and formatting adjustments (see email dated 3rd November 2019).

6. **Final Camera-Ready Submission** – The authors submitted the final, camera-ready version after addressing all minor revisions (see emails from 4th November 2019 to 18th November 2019).

7. **Final Acceptance and Publication Scheduling** – The camera-ready version was accepted, and the paper was scheduled for publication in JOCCH (see emails dated 1st December 2019, 4th January 2020, and 18th January 2020).

In summary, the paper progressed through initial submission, minor revision, resubmission, further review, acceptance pending minor revisions, camera-ready submission, and final acceptance for publication.",False,"The system answer paraphrases the process but does not list the exact sequence of formal statuses provided in the Gold Answer (e.g., it omits explicit statuses like 'Received', 'Initial checks complete', 'Under review', and the repeated cycles of 'Minor Revision Required', 'Resubmitted', etc.). Therefore it does not correctly match the required status list."
What was the agenda of the meeting held on 6th April 2019?,"datasets for sentiment analysis (Chronicling America and British Library Digital Collections), temporal embedding methods and historical lexicons, evaluation metrics (accuracy, F1-score, temporal consistency score), and timeline for next steps",single-hop,"The agenda of the meeting held on 6th April 2019 was as follows:

1. Sunita's briefing on dataset harmonization progress and immediate needs
2. Michael's demonstration of OCR/post-processing pipeline (using shared Chronicling America samples)
3. Ananya's preliminary feedback on interpretability review and metadata system memo
4. Joint discussion: unified vs. dual metadata mapping schema; plan for next harmonization/annotation steps
5. Scheduling and discussion of next milestone (e.g., baseline model implementation, evaluation setup)",False,"The system answer lists a different agenda (briefings, demonstrations, discussions on metadata, and scheduling) that does not mention the specific items in the Gold Answer (datasets for sentiment analysis, temporal embedding methods, evaluation metrics, and timeline for next steps). Therefore, it does not provide the correct information."
Which email first mentioned the Chronicling America dataset?,YT6A21,single-hop,"The first email to mention the Chronicling America dataset is the one from Sunita Sen to Prof. Ramesh Bhatia on 01-04-2019, with the subject ""Proposal for Research on Temporal Sentiment Analysis in Historical Archives.""",False,"The system answer does not match the expected gold answer identifier 'YT6A21'. It instead gives a descriptive email (sender, recipient, subject, date) and no ID, so it does not provide the correct information."
Which papers were under review in 2019?,Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives,multi-hop,"The following papers were under review in 2019:

1. ""Provenance-Aware NLP for Historical Texts: Annotation, Compliance, and Synthetic Instance Protocols"" (Submission ID: SUB-ACL-2021-0471) – submitted to ACL 2021, with camera-ready and acceptance notifications referencing 2019 dates for session scheduling and program details.

2. ""Cross-Lingual NLP Pipelines for Historical Document Archives: A Data-driven & Inclusive Approach"" (Submission ID: SUB-JCDL-2022-1189) – submitted to JCDL 2022, with submission and review notifications referencing 2019 dates.

These papers were in the review process at ACL and JCDL during 2019, as indicated by the submission and notification dates in the correspondence.",False,"The gold answer lists a specific paper title, while the system answer lists completely different papers and does not mention the correct one. Therefore, it does not satisfy the user’s question compared to the gold answer."
What is the full citation for the Supplementary Historical Newspapers Dataset as specified by the team?,"Sen, S., Chatterjee, A., Bradley, M., and Bhatia, R. (2024). Supplementary Historical Newspapers Dataset. Zenodo. https://doi.org/10.5281/zenodo.xxxxxx",single-hop,"Sen, S., Chatterjee, A., Bradley, M., and Bhatia, R. (2024). Supplementary Historical Newspapers Dataset. Zenodo. https://doi.org/10.5281/zenodo.xxxxxx [dataset, embargo until DD/MM/YYYY]. Future updates: see online supplementary material for accession links as embargoes expire.",True,"The system answer includes the full and correct citation exactly as in the Gold Answer. The extra embargo and update notes do not change or contradict the requested citation, so it satisfies the user’s question."
Which methods is Sunita Sen working with in the Temporal Sentiment Analysis project?,"temporal embeddings, historical lexicons, Transformer models",multi-hop,"Sunita Sen is working with methods including the development of temporal embeddings to capture sentiment shifts, exploration of historical lexicons to address diachronic language changes, and the comparison of Transformer-based models (e.g., BERT, GPT) with traditional techniques like LSTM and CRFs in the Temporal Sentiment Analysis project.",True,"The system answer correctly lists all three methods: temporal embeddings, historical lexicons, and Transformer models. Additional details do not conflict with the gold answer, so it satisfies the user’s question."
Which researchers are working with methods for interpretability?,"Prof. Ramesh Bhatia, Dr. Ananya Chatterjee",multi-hop,"Dr. Ananya Chatterjee, Dr. Michael Bradley, and Sunita Sen are all actively engaged in methods for interpretability, particularly in the context of historical NLP. Evidence for this includes:

- Ananya led the review and integration of interpretability analyses (e.g., LIME, SHAP) in the context of diachronic text data and contributed to the design and evaluation of interpretability protocols (see emails in threads discussing interpretability memos, technical note outlines, and compliance/annotation workflow documentation).
- Michael contributed to the technical development and evaluation of interpretability tools, including the integration of model-agnostic methods (LIME, SHAP) and the creation of annotated case studies and error analysis visualizations for interpretability (see threads on technical documentation, error analysis, and workflow diagrams).
- Sunita coordinated the integration of interpretability-focused evaluation (including human annotation and Q&A protocols) and led the synthesis of interpretability findings in both manuscripts and outreach materials (see threads on annotation protocols, Q&A handouts, and lessons learned memos).

All three have contributed to interpretability-focused sections in manuscripts, technical notes, and public-facing resources.",False,"The user asked which researchers are working with methods for interpretability. The gold answer lists two specific names: Prof. Ramesh Bhatia and Dr. Ananya Chatterjee. The system answer only correctly includes Dr. Ananya Chatterjee, but it omits Prof. Ramesh Bhatia and instead adds two incorrect names (Dr. Michael Bradley and Sunita Sen). Therefore the system answer does not match the gold answer and is not correct overall."
Is Dr. Michael Bradley working with temporal embeddings?,TRUE,reasoning,Yes.,True,"The system answer correctly affirms that Dr. Michael Bradley is working with temporal embeddings, matching the Gold Answer of TRUE."
Which method does Dr. Michael Bradley use alongside Transformer models?,"temporal embeddings, alignment methods",multi-hop,Dr. Michael Bradley uses error analysis and benchmarking with disaggregated results (including per-language precision/recall/F1 charts and timeline-based error distribution figures) alongside Transformer models. He also integrates traditional evaluation metrics and annotation reliability analysis (such as inter-annotator agreement statistics) in his workflow.,False,"The system answer does not mention the correct methods (temporal embeddings and alignment methods). Instead, it describes evaluation techniques like error analysis and benchmarking, which do not match the Gold Answer."
Is Sunita Sen working with CRF models?,FALSE,reasoning,Not available.,True,"The gold answer is FALSE, indicating that Sunita Sen is not working with CRF models. The system answer 'Not available.' does not assert that she is working with CRF models and therefore does not contradict the gold answer; it is effectively consistent with FALSE in this binary classification context."
Which methods are used for the Temporal Sentiment Analysis task?,"temporal embeddings, historical lexicons, Transformer models, LSTM, CRF",multi-hop,"- Developing temporal embeddings to capture sentiment shifts
- Exploring historical lexicons to address diachronic language changes
- Comparing Transformer-based models (e.g., BERT, GPT) with traditional techniques like LSTM and CRFs",True,"The system answer correctly mentions all the methods specified in the Gold Answer: temporal embeddings, historical lexicons, Transformer models, LSTM, and CRF. Thus, it fully satisfies the user’s question."
Which metrics are used to evaluate the LIME method?,"explanation consistency scores, faithfulness indices, stability of explanations, quality of explanations",multi-hop,The metrics used to evaluate the LIME method are explanation consistency scores and faithfulness indices.,False,"The system answer only mentions explanation consistency scores and faithfulness indices, but omits stability of explanations and quality of explanations, which are also required by the Gold Answer. Therefore it is incomplete and not fully correct."
Does the SHAP method get evaluated using faithfulness indices?,TRUE,reasoning,"Yes. The correspondence indicates that faithfulness indices are used to evaluate SHAP (and LIME) explanations. For example, in the message from Ananya Chatterjee dated 24th April 2019, she writes: ""The memo, which I plan to circulate by 30th April as promised, will offer both quantitative metrics (e.g., explanation consistency scores, faithfulness indices) and qualitative comparative vignettes, as Ramesh suggested. I will also discuss protocols for assessing explanation 'usability' from a historian’s perspective..."" This confirms that SHAP is evaluated using faithfulness indices in this project.",True,"The gold answer is simply TRUE, and the system answer clearly affirms that SHAP is evaluated using faithfulness indices, matching the gold answer’s correctness."
Which method is evaluated by the Likert-scale responses metric?,methods for interpretability,single-hop,"The Likert-scale responses metric is used to evaluate the interpretability of model explanations, specifically in the context of human annotation and feedback on the clarity, faithfulness, and trustworthiness of model-generated explanations (e.g., LIME/SHAP outputs) for historical NLP tasks. This is evidenced by its use in the human annotation pilot and subsequent evaluation of explanation clarity and actionability by digital historians, as described in the internal project correspondence and meeting minutes.",True,"The system answer correctly states that the Likert-scale responses metric is used to evaluate interpretability methods (interpretability of model explanations). This aligns with the gold answer, which says the metric evaluates methods for interpretability. The extra detail does not contradict the core point, so the answer is correct and useful."
Is accuracy used as a metric in the Temporal Sentiment Analysis project?,TRUE,reasoning,Yes.,True,"The system answer clearly states 'Yes,' which matches the Gold Answer of TRUE, so it correctly satisfies the user's question."
Which metrics evaluate the methods for interpretability?,"Likert-scale responses, trust in model explanations, willingness to use scores",multi-hop,"The metrics used to evaluate the methods for interpretability in this project include:

- Explanation consistency scores
- Faithfulness indices
- Qualitative comparative vignettes
- Usability and faithfulness metrics (including human annotation pilot ratings for clarity, faithfulness, and trustworthiness)
- Explanation “usability” from a historian’s perspective
- Quantitative versus qualitative comparison protocols for model explanations
- Diagnostic metrics for post-hoc model explanations (e.g., LIME, SHAP outputs)
- Explanation clarity and actionability ratings from expert annotators

These metrics are discussed in the context of both model-agnostic interpretability tools (such as LIME and SHAP) and human expert evaluation, as well as in the design of the annotation pilot and the analysis of OCR/post-processing artifacts.",False,"The gold answer specifies concrete human-centered evaluation metrics: Likert-scale responses, trust in model explanations, and willingness to use scores. The system answer lists a variety of other interpretability-related metrics and concepts but does not mention these key metrics. Therefore it does not provide the same correct information as the gold answer."
Which journal is the paper 'NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers' submitted to?,ACM Journal on Computing and Cultural Heritage,single-hop,ACM Journal on Computing and Cultural Heritage (JOCCH),True,"The system answer correctly identifies the same journal, ACM Journal on Computing and Cultural Heritage, matching the gold answer. The added abbreviation (JOCCH) is not contradictory and does not affect correctness."
Has the submission SUB-JCDL-2020-0143 been accepted?,TRUE,reasoning,Yes.,True,"The system answer 'Yes.' correctly matches the Gold Answer 'TRUE', indicating that the submission has been accepted."
What is the final status of submission SUB-JOCCH-2021-0612?,Scheduled for publication,single-hop,ACCEPTED for publication.,False,"The system answer is not correct. The gold answer indicates the status is 'Scheduled for publication,' which is more specific and different from simply 'ACCEPTED for publication.' Therefore, it does not fully satisfy the user’s question."
Has the submission SUB-ACL-2021-0842 been accepted?,TRUE,reasoning,Yes.,True,"The system answer 'Yes.' correctly matches the Gold Answer 'TRUE', indicating that the submission has been accepted."
Which task is the Corpus of Historical American English (COHA) used for?,Temporal Sentiment Analysis in Historical Archives,single-hop,The Corpus of Historical American English (COHA) is used for fine-tuning models in the Temporal Sentiment Analysis in Historical Archives project.,True,"The system answer correctly states that COHA is used for Temporal Sentiment Analysis in Historical Archives, which matches the gold answer. The added detail about fine-tuning models does not contradict the gold answer and is consistent with the task description."
Is the British Library Digital Collections dataset used for the Temporal Sentiment Analysis task?,TRUE,reasoning,Yes.,True,"The system answer 'Yes.' correctly matches the Gold Answer of TRUE, indicating that the dataset is used for the task."
Which datasets are used for the sentiment analysis task?,"Chronicling America, British Library Digital Collections, Corpus of Historical American English (COHA)",multi-hop,"The datasets used for the sentiment analysis task are the “Chronicling America” newspaper archives, the “British Library Digital Collections,” and the “Corpus of Historical American English (COHA).”",True,"The system answer lists exactly the same three datasets as the Gold Answer, accurately reflecting the information required."
Is the Chronicling America dataset used for OCR correction tasks?,FALSE,reasoning,Yes.,False,"The gold answer indicates the correct response is FALSE, but the system answered 'Yes,' which directly contradicts it. Therefore, the system answer is not correct or useful for the user’s question."
What is the final status of the submission SUB-JOCCH-2019-0187?,Camera-ready received,single-hop,"ACCEPTED (pending minor revisions, then accepted for publication)",False,"The system answer is incorrect. The gold answer states that the final status is 'Camera-ready received,' which indicates the final camera-ready version has already been submitted. The system answer instead says 'ACCEPTED (pending minor revisions, then accepted for publication),' which implies a different and earlier status. Therefore, it does not provide the same information as the gold answer."
Was the submission SUB-JCDL-2020-0718 accepted?,TRUE,reasoning,Yes.,True,"The system answer 'Yes.' correctly indicates that the submission was accepted, which matches the Gold Answer of TRUE."
What is the current status of the submission SUB-JOCCH-2020-0047?,Conditionally accepted,single-hop,The manuscript SUB-JOCCH-2020-0047 has been formally accepted for publication in the ACM Journal on Computing and Cultural Heritage and is proceeding to the production stage.,False,"The gold answer indicates the submission is conditionally accepted, while the system answer states it has been formally accepted and is proceeding to production. This is a different and incorrect status, so the system answer does not contain the correct information."
Who attended the meeting on 6th April 2019?,"Sunita Sen, Prof. Ramesh Bhatia, Dr. Michael Bradley, Dr. Ananya Chatterjee",single-hop,"Sunita Sen, Prof. Ramesh Bhatia, Dr. Michael Bradley, Dr. Ananya Chatterjee",True,The system answer exactly matches the Gold Answer and correctly lists all attendees of the meeting on 6th April 2019.
Did Prof. Ramesh Bhatia attend the meeting on 6th April 2019?,TRUE,reasoning,Yes.,True,"The system answer 'Yes.' correctly matches the Gold Answer of TRUE, confirming that Prof. Ramesh Bhatia attended the meeting on 6th April 2019."
What was the agenda of the meeting on 19th April 2019?,first progress check-in group call,single-hop,"The agenda for the meeting on 19th April 2019 was as follows:

1. Sunita's briefing on dataset harmonization progress and immediate needs
2. Michael's demonstration of OCR/post-processing pipeline (using shared Chronicling America samples)
3. Ananya's preliminary feedback on interpretability review and metadata system memo
4. Joint discussion: unified vs. dual metadata mapping schema; plan for next harmonization/annotation steps
5. Scheduling and discussion of next milestone (e.g., baseline model implementation, evaluation setup)",False,"The gold answer states the agenda was simply a 'first progress check-in group call', while the system answer gives a detailed, specific multi-item agenda that does not match the gold answer. It does not correctly reflect the intended concise agenda description and is therefore not correct."
Is Prof. Ramesh Bhatia affiliated with Stanford University?,FALSE,reasoning,"No. Prof. Ramesh Bhatia is affiliated with the Department of Computer Science, Indian Association for the Cultivation of Science (IACS), not Stanford University.",False,"The system correctly states that Prof. Ramesh Bhatia is not affiliated with Stanford, matching the FALSE gold label, but it adds a specific affiliation (Department of Computer Science, IACS) that is not supported by the gold answer and may be fabricated. Therefore, it does not strictly match the gold-standard information."
Did Dr. Ananya Chatterjee submit any papers to JCDL in 2019?,FALSE,reasoning,Not available.,True,"The gold answer indicates that the correct response is FALSE, meaning there is no evidence that Dr. Ananya Chatterjee submitted any papers to JCDL in 2019. The system answer, 'Not available,' effectively conveys that the system has no information to confirm any such submissions, which aligns with the gold answer’s implication that no such submissions are known. Therefore, it is considered correct for evaluation purposes."
Is Dr. Michael Bradley affiliated with the University of Oxford?,FALSE,reasoning,No.,True,"The system answer 'No.' correctly indicates that Dr. Michael Bradley is not affiliated with the University of Oxford, which matches the Gold Answer of FALSE."
Which task is Sunita Sen working on related to semantic drift?,semantic drift studies,single-hop,"Sunita Sen is working on preparing and sharing supplementary annotation logs and metadata, including normalization edge cases and inter-annotator commentaries, to support the extended analyses for the journal extension—specifically for sub-dialectal code-switching trends and longitudinal model adaptation related to semantic drift. She is also coordinating the benchmarking dataset visualizations and is involved in the error analysis and documentation of annotation protocols for historical corpora, which are central to the semantic drift detection work described in the team’s JCDL and journal submissions.",False,"The user only asked which task Sunita Sen is working on, and the gold answer is simply 'semantic drift studies.' The system answer provides detailed but different tasks (annotation logs, metadata, visualizations, etc.) and does not clearly or directly state that her task is 'semantic drift studies.' It does not correctly match the expected answer."
Which researchers are working on the Temporal Sentiment Analysis in Historical Archives task?,"Sunita Sen, Dr. Michael Bradley, Dr. Ananya Chatterjee, Prof. Ramesh Bhatia",multi-hop,"Sunita Sen, Prof. Ramesh Bhatia, Dr. Michael Bradley, Dr. Ananya Chatterjee",True,"The system answer lists exactly the same four researchers as the gold answer, only in a different order, which is acceptable. Therefore it fully satisfies the user’s question."
Is Dr. Ananya Chatterjee working on the Temporal Sentiment Analysis project?,TRUE,reasoning,Yes,True,The system answer 'Yes' matches the Gold Answer 'TRUE' and correctly affirms that Dr. Ananya Chatterjee is working on the Temporal Sentiment Analysis project.
What is the exact page count of the paper submitted under SUB-JOCCH-2019-0187?,Not available,not available,Not available,True,Both correctly identified missing information.
