NLQ,GOLD_ANS,QUESTION_TYPE,SYSTEM_ANS,Unnamed: 4,GENERATED_CYPHER,DB_OUTPUT,IS_USEFUL,EVAL_REASON
Is there a deadline for feedback on the annotation instructions?,"Yes, feedback is requested by 7th May 2019.",reasoning,,,"MATCH (t:Task) 
WHERE (toLower(t.taskName) CONTAINS ""annotation"" OR toLower(t.taskName) CONTAINS ""instructions"" OR toLower(t.taskName) CONTAINS ""feedback"") 
AND t.taskDate IS NOT NULL 
RETURN DISTINCT t.taskDate","[{'t.taskDate': '2019-05-10'}, {'t.taskDate': '2019-05-05'}, {'t.taskDate': '2019-05-07'}, {'t.taskDate': '2025-05-12'}, {'t.taskDate': '2019-05-12'}, {'t.taskDate': '2019-07-15'}, {'t.taskDate': '2019-09-22'}, {'t.taskDate': '2020-01-16'}, {'t.taskDate': '2020-04-18'}, {'t.taskDate': 'today'}, {'t.taskDate': '2020-06-26'}, {'t.taskDate': '2020-06-27'}, {'t.taskDate': '2020-08-25'}, {'t.taskDate': '2020-02-10/2020-02-14'}, {'t.taskDate': '2025-08-28'}, {'t.taskDate': '2019-09-25'}, {'t.taskDate': '2019-09-28'}, {'t.taskDate': '2025-09-28'}, {'t.taskDate': 'this weekend'}, {'t.taskDate': '2021-02-07'}, {'t.taskDate': '2021-01-26'}, {'t.taskDate': '2021-01-31/2021-02-07'}, {'t.taskDate': 'tomorrow'}, {'t.taskDate': 'Monday evening'}, {'t.taskDate': '2020-08-03'}, {'t.taskDate': '2025-08-07'}, {'t.taskDate': '14 August'}, {'t.taskDate': '2022-10-29'}, {'t.taskDate': '2022-02-25'}, {'t.taskDate': '2025-02-18'}, {'t.taskDate': 'within 48 hours'}, {'t.taskDate': '2022-03-26'}, {'t.taskDate': '2022-04-07/2022-04-10'}, {'t.taskDate': '2022-04-06'}, {'t.taskDate': '2022-05-10'}, {'t.taskDate': '2022-05-11'}, {'t.taskDate': '2022-05-31'}, {'t.taskDate': '2025-05-10'}, {'t.taskDate': '2025-05-16'}, {'t.taskDate': '2022-05-17'}, {'t.taskDate': '2022-05-16'}, {'t.taskDate': '2025-05-21'}, {'t.taskDate': '2025-05-26'}, {'t.taskDate': '2022-06-01'}, {'t.taskDate': 'by noon'}, {'t.taskDate': '2020-06-25'}, {'t.taskDate': '2021-11-25'}, {'t.taskDate': '2021-02-23'}, {'t.taskDate': '2026-04-04'}, {'t.taskDate': 'before Friday'}, {'t.taskDate': '2023-05-03'}, {'t.taskDate': '2025-05-03'}, {'t.taskDate': '2026-05-10'}, {'t.taskDate': '2026-05-08'}, {'t.taskDate': '2025-05-08'}, {'t.taskDate': '2025-05-15'}, {'t.taskDate': '2025-08-01'}, {'t.taskDate': '2023-07-31'}, {'t.taskDate': '2024-10-23'}, {'t.taskDate': '2025-11-10'}, {'t.taskDate': '2025-11-12'}, {'t.taskDate': '2025-11-15'}, {'t.taskDate': '2022-03-12'}, {'t.taskDate': '2022-03-19/2022-03-21'}, {'t.taskDate': '2024-03-03'}, {'t.taskDate': '2024-04-20'}, {'t.taskDate': '2025-04-23'}, {'t.taskDate': '2024-05-05'}, {'t.taskDate': '2025-05-05'}, {'t.taskDate': '2025-05-17'}, {'t.taskDate': '2025-05-28'}, {'t.taskDate': '2024-05-24'}, {'t.taskDate': '2024-09-13'}, {'t.taskDate': '2024-09-24'}, {'t.taskDate': '24 September'}, {'t.taskDate': '2024-11-06'}, {'t.taskDate': 'tomorrow midday'}, {'t.taskDate': '2022-01-10'}, {'t.taskDate': '2026-01-14'}, {'t.taskDate': '2022-03-15'}, {'t.taskDate': '2026-03-15'}]",False,"The gold answer specifies a concrete deadline of 7th May 2019, but the database output only lists various dates, none of which is 2019-05-07 or clearly marked as the deadline for feedback on annotation instructions. Therefore it does not contain the specific required information."
What dataset is being used for the historian review component in the interpretability evaluation?,Not available,not available,,,"MATCH (d:Dataset)-[:usedFor]->(t:Task)
WHERE toLower(t.taskName) CONTAINS ""historian"" OR toLower(t.taskName) CONTAINS ""review""
   OR toLower(t.taskName) CONTAINS ""interpretability"" OR toLower(t.taskName) CONTAINS ""evaluation""
RETURN DISTINCT d.datasetName","[{'d.datasetName': 'historical datasets'}, {'d.datasetName': '1890s datasets'}, {'d.datasetName': 'data segments with residual OCR errors'}, {'d.datasetName': 'our current corpus subset'}, {'d.datasetName': 'clean corpus subset'}, {'d.datasetName': 'historical data'}, {'d.datasetName': 'annotated OCR error corpus'}, {'d.datasetName': 'annotated historical OCR error corpus'}, {'d.datasetName': 'dataset'}, {'d.datasetName': 'Bengali and English source archives'}, {'d.datasetName': 'Bengali-English parallel corpus'}, {'d.datasetName': 'Revision_Materials'}, {'d.datasetName': 'embargoed datasets'}, {'d.datasetName': 'final versions of all datasets and code'}, {'d.datasetName': 'dataset harmonization pipeline'}, {'d.datasetName': 'Indian datasets'}, {'d.datasetName': 'GHPC'}, {'d.datasetName': 'HISTEXT-21'}, {'d.datasetName': 'dataset interoperability'}, {'d.datasetName': 'historical NLP knowledge base'}, {'d.datasetName': 'historical text datasets'}, {'d.datasetName': 'synthetic “preview samples”'}, {'d.datasetName': 'synthetic preview sample'}, {'d.datasetName': 'historical NLP datasets'}, {'d.datasetName': 'corpus creation protocols for heritage materials'}, {'d.datasetName': 'full dataset'}, {'d.datasetName': 'dataset access'}, {'d.datasetName': 'multilingual historical corpus'}, {'d.datasetName': 'updated dataset licensing info'}, {'d.datasetName': 'final dataset index with comprehensive licensing annotations'}, {'d.datasetName': 'NDLI'}, {'d.datasetName': 'Stanford ContinuingReview_Sample.pdf'}, {'d.datasetName': 'UK/EU datasets'}]",False,"The gold answer indicates that the requested information is not available. The database output lists many dataset names but does not specify which, if any, is used for the historian review component in the interpretability evaluation. Therefore it does not correctly answer the specific question and conflicts with the gold answer of ‘Not available’."
Who are the collaborators involved in annotation protocol?,"Sunita Sen
Prof. Ramesh Bhatia
Dr. Michael Bradley
Dr. Ananya Chatterjee",single-hop,,,"MATCH (p:Person)-[:worksOn]->(t:Task)
WHERE toLower(t.taskName) CONTAINS toLower(""annotation protocol"")
RETURN DISTINCT p.personName","[{'p.personName': 'Sunita Sen'}, {'p.personName': 'Prof. Ramesh Bhatia'}, {'p.personName': 'Dr. Michael Bradley'}, {'p.personName': 'Dr. Ananya Chatterjee'}]",True,"The raw database output lists exactly the same four names as in the Gold Answer, so it fully satisfies the user’s question about the collaborators involved in the annotation protocol."
Did Dr. Ananya Chatterjee work on annotation protocol?,TRUE,reasoning,,,"MATCH (p:Person)-[:worksOn]->(t:Task)
WHERE toLower(p.personName) CONTAINS toLower(""Ananya Chatterjee"") AND toLower(t.taskName) CONTAINS toLower(""annotation protocol"")
RETURN count(t) > 0 AS result",[{'result': True}],True,"The raw database output returns True, which matches the Gold Answer of TRUE, so it correctly satisfies the user’s question."
What are the specific NLP methods mentioned in the annotation protocol?,"large-scale historical NLP efforts, NLP processing, NLP, multilingual and low-resource historical NLP pipelines, NLP tools, HistocrNLP, open and reproducible NLP for historical texts, HistocrNLP—Reproducible NLP Pipeline for Historical Corpora, comparative NLP analysis, NLP Methods for Historical Data, Multilingual NLP, multilingual NLP framework, multilingual historical NLP methods, NLP-based framework, NLP for historical data, cross-institution protocols for multilingual NLP, cross-lingual historical NLP pipeline, ethical data handling in historical NLP workflows, NLP methods, recent EMNLP benchmark, NLP pipeline, historical corpus NLP, NLP Pipelines, historical NLP pipelines, archival NLP, NLP research on historical data",single-hop,,,"MATCH (m:Method) WHERE toLower(m.methodName) CONTAINS toLower(""nlp"") OR toLower(m.methodName) CONTAINS toLower(""annotation protocol"") RETURN DISTINCT m.methodName","[{'m.methodName': 'large-scale historical NLP efforts'}, {'m.methodName': 'NLP processing'}, {'m.methodName': 'NLP'}, {'m.methodName': 'multilingual and low-resource historical NLP pipelines'}, {'m.methodName': 'NLP tools'}, {'m.methodName': 'HistocrNLP'}, {'m.methodName': 'open and reproducible NLP for historical texts'}, {'m.methodName': 'HistocrNLP—Reproducible NLP Pipeline for Historical Corpora'}, {'m.methodName': 'comparative NLP analysis'}, {'m.methodName': 'NLP Methods for Historical Data'}, {'m.methodName': 'annotation protocol'}, {'m.methodName': 'baseline annotation protocol'}, {'m.methodName': 'provenance-aware annotation protocol'}, {'m.methodName': 'Multilingual NLP'}, {'m.methodName': 'multilingual NLP framework'}, {'m.methodName': 'multilingual historical NLP methods'}, {'m.methodName': 'NLP-based framework'}, {'m.methodName': 'NLP for historical data'}, {'m.methodName': 'cross-institution protocols for multilingual NLP'}, {'m.methodName': 'cross-lingual historical NLP pipeline'}, {'m.methodName': 'ethical data handling in historical NLP workflows'}, {'m.methodName': 'NLP methods'}, {'m.methodName': 'annotation protocols'}, {'m.methodName': 'recent EMNLP benchmark'}, {'m.methodName': 'NLP pipeline'}, {'m.methodName': 'historical corpus NLP'}, {'m.methodName': 'NLP Pipelines'}, {'m.methodName': 'historical NLP pipelines'}, {'m.methodName': 'archival NLP'}, {'m.methodName': 'NLP research on historical data'}, {'m.methodName': 'structured meta-annotation protocol'}, {'m.methodName': 'data-sharing and archival annotation protocols'}]",True,"The database output includes all the NLP method names listed in the Gold Answer (e.g., large-scale historical NLP efforts, multilingual and low-resource historical NLP pipelines, HistocrNLP, cross-lingual historical NLP pipeline, etc.), plus some additional annotation-related items. Since all expected methods are present, it contains the correct information to satisfy the question."
"Which conferences are being considered for submission of the paper ""Multilingual Historical Corpora for Semantic Drift Detection: A Hybrid Evaluation Approach""?",JCDL 2023,multi-hop,,,"MATCH (p:Paper) 
WHERE toLower(p.paperTitle) CONTAINS toLower(""Multilingual Historical Corpora for Semantic Drift Detection: A Hybrid Evaluation Approach"")
MATCH (s:SubmissionID)-[:identifies]->(p)
MATCH (s)-[:inVenue]->(c:Conference)
RETURN DISTINCT c.confTitle",[{'c.confTitle': 'JCDL 2023'}],True,"The database output contains 'JCDL 2023', which exactly matches the expected Gold Answer and correctly answers the user’s question about which conferences are being considered."
Is Sunita Sen responsible for the task of annotation instructions?,TRUE,reasoning,,,"MATCH (p:Person)-[:worksOn]->(t:Task)
WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"") AND toLower(t.taskName) CONTAINS toLower(""annotation"") AND toLower(t.taskName) CONTAINS toLower(""instruction"")
RETURN count(t) > 0 AS result",[{'result': True}],True,"The raw database output indicates True, which matches the expected Gold Answer of TRUE, so it correctly satisfies the user’s question."
What is the date for the ACL submission task?,2019-05-28,single-hop,,,"MATCH (t:Task) WHERE toLower(t.taskName) CONTAINS ""acl"" AND toLower(t.taskName) CONTAINS ""submission"" RETURN DISTINCT t.taskName, t.taskDate","[{'t.taskName': 'ACL/EMNLP submission draft', 't.taskDate': None}, {'t.taskName': 'outline preliminary authorship and responsibilities map for planned ACL/EMNLP submission', 't.taskDate': None}, {'t.taskName': 'ACL/EMNLP submission', 't.taskDate': '2019-06-05'}, {'t.taskName': 'ACL submissions', 't.taskDate': None}, {'t.taskName': 'collectively review and finalize before submission to ACL', 't.taskDate': None}, {'t.taskName': 'ACL submission', 't.taskDate': None}, {'t.taskName': 'initiate the submission to ACL', 't.taskDate': '2019-05-28'}, {'t.taskName': 'official ACL submission', 't.taskDate': '2019-05-28'}, {'t.taskName': 'prepare a features matrix comparing JOCCH and ACL 2022 as potential submission venues', 't.taskDate': None}, {'t.taskName': 'Review of the submission venue matrix (ACL 2022 Resource Track vs. JOCCH)', 't.taskDate': None}, {'t.taskName': 'prepare ACL 2022 Resource Track submission', 't.taskDate': '2022-11-30'}, {'t.taskName': 'ACL 2022 Resource Track submission', 't.taskDate': None}, {'t.taskName': 'timeline review: updated milestones for the first complete draft, pre-submission checklist, and revised ACL resource track deadlines', 't.taskDate': None}, {'t.taskName': 'ACL resource track submission', 't.taskDate': None}, {'t.taskName': 'planned ACL submission', 't.taskDate': '2021-11-04'}, {'t.taskName': 'draft the formal ACL submission', 't.taskDate': None}, {'t.taskName': 'sharing the final submission package for a last confirmation email before formal upload to the ACL system', 't.taskDate': None}, {'t.taskName': 'submit the package via the ACL online submission portal', 't.taskDate': None}, {'t.taskName': 'formal submission to the ACL online portal', 't.taskDate': None}, {'t.taskName': 'completing ACL camera-ready submission', 't.taskDate': None}, {'t.taskName': 'ACL 2021 camera-ready submission', 't.taskDate': None}, {'t.taskName': 'harmonization phase for ACL 2021 camera-ready submission', 't.taskDate': None}, {'t.taskName': 'final slide deck submission for ACL upload', 't.taskDate': None}, {'t.taskName': 'ACL submission portal closure', 't.taskDate': None}, {'t.taskName': 'prepare the final upload in accordance with the ACL submission portal guidelines', 't.taskDate': None}, {'t.taskName': 'review ACL camera-ready submission guidelines for oral presentations', 't.taskDate': None}, {'t.taskName': 'submission to ACL', 't.taskDate': '2020-06-19'}, {'t.taskName': 'official submission to the ACL committee', 't.taskDate': None}, {'t.taskName': 'propose proactive outreach scenarios for joint JCDL 2022 or ACL 2022 submissions', 't.taskDate': None}, {'t.taskName': 'initiate submission to the ACL conference', 't.taskDate': '2024-11-22'}, {'t.taskName': 'confirming file for ACL submission', 't.taskDate': '2024-11-22'}, {'t.taskName': 'revision phase of ACL submission', 't.taskDate': None}, {'t.taskName': 'submission via the ACL portal', 't.taskDate': None}, {'t.taskName': 'submitting complete camera-ready package via the ACL2024 s... [TRUNCATED DUE TO SIZE]",True,"The database output includes tasks named 'initiate the submission to ACL' and 'official ACL submission' both with the date '2019-05-28', which matches the Gold Answer, so it contains the necessary correct information to answer the question."
What is the email address of Dr Ajay Patel?,Not available,single-hop,,,"MATCH (p:Person) WHERE toLower(p.personName) CONTAINS toLower(""Ajay Patel"") RETURN DISTINCT p.personEmail",[{'p.personEmail': None}],True,"The database output shows the email field as None, which aligns with the gold answer of 'Not available'. Both indicate that the email address is not available, so the raw output is correct and sufficient."
Who are the collaborators working with Dr. Michael Bradley on the annotation project?,"Sunita Sen, Prof. Ramesh Bhatia, Dr. Ananya Chatterjee",multi-hop,,,"MATCH (p:Person)-[:worksWith]->(d:Dataset)
MATCH (p)-[:worksOn]->(t:Task)
WHERE toLower(p.personName) CONTAINS toLower(""Michael Bradley"") AND (toLower(t.taskName) CONTAINS ""annotat"" OR toLower(t.taskName) CONTAINS ""annotation"")
WITH DISTINCT p, t
MATCH (collab:Person)-[:worksOn]->(t)
WHERE collab.id <> p.id
RETURN DISTINCT collab.personName","[{'collab.personName': 'Sunita Sen'}, {'collab.personName': 'Prof. Ramesh Bhatia'}, {'collab.personName': 'Dr. Ananya Chatterjee'}, {'collab.personName': 'Dr. Katherine Liu'}, {'collab.personName': 'Dr. Ajay Patel'}, {'collab.personName': 'Prof. Arvind Narayanan'}, {'collab.personName': 'Dr. Liu'}, {'collab.personName': 'Dr. Patel'}]",False,"The database output includes the three correct collaborators (Sunita Sen, Prof. Ramesh Bhatia, Dr. Ananya Chatterjee) but also contains additional, apparently spurious or duplicate entries (Dr. Katherine Liu, Dr. Ajay Patel, Prof. Arvind Narayanan, Dr. Liu, Dr. Patel). Since it is not clear from the output which of these are actually working with Dr. Michael Bradley on this specific annotation project, the raw output does not directly satisfy the user’s question without further filtering or disambiguation."
Is Dr Katherine Liu working on her annotation work with Dr Ajay Patel?,TRUE,reasoning,,,"MATCH (p1:Person)-[:worksOn]->(t:Task)<-[:worksOn]-(p2:Person)
WHERE (toLower(p1.personName) CONTAINS toLower(""Katherine Liu"") OR toLower(p1.personName) CONTAINS toLower(""Dr Katherine Liu""))
  AND (toLower(p2.personName) CONTAINS toLower(""Ajay Patel"") OR toLower(p2.personName) CONTAINS toLower(""Dr Ajay Patel""))
  AND (toLower(t.taskName) CONTAINS toLower(""annotation""))
RETURN count(t) > 0 AS result",[{'result': True}],True,"The database output is True, which matches the Gold Answer of TRUE; thus it correctly satisfies the user’s question."
Is there a dataset associated with the annotation project?,TRUE,single-hop,,,"MATCH (d:Dataset)-[:usedFor]->(t:Task)
WHERE toLower(t.taskName) CONTAINS ""annotat""
RETURN DISTINCT d.datasetName","[{'d.datasetName': 'datasets'}, {'d.datasetName': 'stanford_annotations_may2019'}, {'d.datasetName': 'annotated OCR error corpus'}, {'d.datasetName': 'dataset documentation'}, {'d.datasetName': 'small, representative corpus sample'}, {'d.datasetName': 'open repository of demo scripts, annotation templates, and sample data'}, {'d.datasetName': 'Zenodo'}, {'d.datasetName': 'annotated corpus samples'}, {'d.datasetName': 'historical samples'}, {'d.datasetName': 'pilot datasets (~50 docs)'}, {'d.datasetName': 'current corpus (>1000 docs)'}, {'d.datasetName': 'corpus creation protocols for heritage materials'}, {'d.datasetName': 'annotation packets'}, {'d.datasetName': 'multi-lingual dataset'}, {'d.datasetName': 'multi-lingual samples'}, {'d.datasetName': 'annotated dataset'}, {'d.datasetName': 'annotated historical datasets'}, {'d.datasetName': 'expert-curated subsets'}, {'d.datasetName': 'sample annotation guidelines'}, {'d.datasetName': 'HistoricData'}, {'d.datasetName': 'multilingual heritage corpora'}, {'d.datasetName': 'historical legal corpora'}, {'d.datasetName': 'Bengali legal documents'}, {'d.datasetName': 'Indian Newspapers corpus'}, {'d.datasetName': 'British Colonial Proceedings'}, {'d.datasetName': 'US Immigration Letters'}, {'d.datasetName': 'NDLI'}, {'d.datasetName': 'Stanford ContinuingReview_Sample.pdf'}, {'d.datasetName': 'Europeana'}, {'d.datasetName': 'annotated historical corpora and scripts'}, {'d.datasetName': 'supplementary annotation logs'}, {'d.datasetName': 'edge cases'}, {'d.datasetName': 'inter-annotator metadata'}, {'d.datasetName': 'Bengal Gazette'}, {'d.datasetName': 'Madras Chronicle'}, {'d.datasetName': 'archival data'}, {'d.datasetName': 'cross-regional data'}, {'d.datasetName': 'heritage dataset'}, {'d.datasetName': ""National Library of Israel's protocols""}]",True,"The user asks if there is a dataset associated with the annotation project (a yes/no question with expected answer TRUE). The database output lists many dataset names, clearly indicating that datasets exist. This is sufficient to conclude TRUE, so the raw output contains the correct information."
What is the affiliation of Sunita Sen?,Indian Association for the Cultivation of Science,single-hop,,,"MATCH (p:Person) WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"") RETURN DISTINCT p.affiliation",[{'p.affiliation': 'Indian Association for the Cultivation of Science'}],True,"The raw database output includes 'Indian Association for the Cultivation of Science' as the affiliation, which exactly matches the Gold Answer and fully satisfies the user’s question."
Which paper is being submitted to ACL 2024?,"Generalizing Protocol Harmonization in Under-Resourced Historical NLP: Methods, Legal Interoperability, and Error Analysis",multi-hop,,,"MATCH (c:Conference) 
WHERE toLower(c.confTitle) CONTAINS toLower(""ACL"") AND c.confDate CONTAINS ""2024""
MATCH (s:SubmissionID)-[:inVenue]->(c)
MATCH (s)-[:identifies]->(p:Paper)
RETURN DISTINCT p.paperTitle",[],False,"The raw database output is an empty list and does not contain any information about the paper title, so it cannot satisfy the user’s question."
What dataset was used for the annotation process in the email?,"Zenodo, annotated dataset, sample annotation guidelines, NDLI, supplementary annotation logs, edge cases, inter-annotator metadata, Bengal Gazette, Madras Chronicle, annotation packets, multi-lingual dataset, datasets, stanford_annotations_may2019, Stanford ContinuingReview_Sample.pdf, Europeana",multi-hop,,,"MATCH (d:Dataset)-[:usedFor]->(t:Task)
WHERE toLower(t.taskName) CONTAINS ""annotat""
RETURN DISTINCT d.datasetName","[{'d.datasetName': 'datasets'}, {'d.datasetName': 'stanford_annotations_may2019'}, {'d.datasetName': 'annotated OCR error corpus'}, {'d.datasetName': 'dataset documentation'}, {'d.datasetName': 'small, representative corpus sample'}, {'d.datasetName': 'open repository of demo scripts, annotation templates, and sample data'}, {'d.datasetName': 'Zenodo'}, {'d.datasetName': 'annotated corpus samples'}, {'d.datasetName': 'historical samples'}, {'d.datasetName': 'pilot datasets (~50 docs)'}, {'d.datasetName': 'current corpus (>1000 docs)'}, {'d.datasetName': 'corpus creation protocols for heritage materials'}, {'d.datasetName': 'annotation packets'}, {'d.datasetName': 'multi-lingual dataset'}, {'d.datasetName': 'multi-lingual samples'}, {'d.datasetName': 'annotated dataset'}, {'d.datasetName': 'annotated historical datasets'}, {'d.datasetName': 'expert-curated subsets'}, {'d.datasetName': 'sample annotation guidelines'}, {'d.datasetName': 'HistoricData'}, {'d.datasetName': 'multilingual heritage corpora'}, {'d.datasetName': 'historical legal corpora'}, {'d.datasetName': 'Bengali legal documents'}, {'d.datasetName': 'Indian Newspapers corpus'}, {'d.datasetName': 'British Colonial Proceedings'}, {'d.datasetName': 'US Immigration Letters'}, {'d.datasetName': 'NDLI'}, {'d.datasetName': 'Stanford ContinuingReview_Sample.pdf'}, {'d.datasetName': 'Europeana'}, {'d.datasetName': 'annotated historical corpora and scripts'}, {'d.datasetName': 'supplementary annotation logs'}, {'d.datasetName': 'edge cases'}, {'d.datasetName': 'inter-annotator metadata'}, {'d.datasetName': 'Bengal Gazette'}, {'d.datasetName': 'Madras Chronicle'}, {'d.datasetName': 'archival data'}, {'d.datasetName': 'cross-regional data'}, {'d.datasetName': 'heritage dataset'}, {'d.datasetName': ""National Library of Israel's protocols""}]",True,"The raw database output includes all key datasets and related items listed in the Gold Answer (Zenodo, annotated dataset, sample annotation guidelines, NDLI, supplementary annotation logs, edge cases, inter-annotator metadata, Bengal Gazette, Madras Chronicle, annotation packets, multi-lingual dataset, datasets, stanford_annotations_may2019, Stanford ContinuingReview_Sample.pdf, Europeana). Therefore, it contains the correct information needed to answer the user’s question."
Which conference tracks are focused on explainable NLP this year?,Not available,not available,,,"MATCH (c:Conference)<-[:inVenue]-(s:SubmissionID)-[:identifies]->(:Paper)-[:hasAuthor]->(:Person)-[:worksOn]->(t:Task)
WHERE t.taskName IS NOT NULL AND (toLower(t.taskName) CONTAINS ""explain"" OR toLower(t.taskName) CONTAINS ""interpret"" OR toLower(t.taskName) CONTAINS ""explanation"" OR toLower(t.taskName) CONTAINS ""nlp"")
  AND c.confDate IS NOT NULL AND date(c.confDate).year = date().year
RETURN DISTINCT c.confTitle",[],True,Both correctly identified missing information.
Did Dr. Ananya Chatterjee attend the coordination call on 15th December 2021?,TRUE,reasoning,,,"MATCH (p:Person)-[:attends]->(m:Meeting)
WHERE toLower(p.personName) CONTAINS toLower(""Ananya Chatterjee"")
AND m.meetDate = ""2021-12-15""
AND m.meetAgenda IS NOT NULL AND toLower(m.meetAgenda) CONTAINS toLower(""coordination"")
RETURN count(m) > 0 AS result",[{'result': False}],False,"The gold answer indicates that Dr. Ananya Chatterjee did attend the coordination call (TRUE), while the raw database output states result: False. This directly contradicts the gold answer, so the database output does not contain the correct information."
Is Dr Liu affiliated with Stanford University?,FALSE,single-hop,,,"MATCH (p:Person) WHERE toLower(p.personName) CONTAINS toLower(""Dr Liu"") AND toLower(p.affiliation) CONTAINS toLower(""Stanford University"") RETURN count(p) > 0 AS result",[{'result': False}],True,"The raw database output returns False, which matches the Gold Answer of FALSE, correctly indicating that Dr Liu is not affiliated with Stanford University."
Who are the participants involved of the coordination call on 15th December 2021?,"Prof. Ramesh Bhatia, Sunita Sen, Dr. Michael Bradley, Dr. Ananya Chatterjee",single-hop,,,"MATCH (m:Meeting)<-[:attends]-(p:Person)
WHERE m.meetDate = ""2021-12-15"" AND m.meetAgenda IS NOT NULL AND toLower(m.meetAgenda) CONTAINS ""coordination""
RETURN DISTINCT p.personName",[],False,"The raw database output is an empty list and does not contain any of the participants named in the Gold Answer, so it cannot satisfy the user’s question."
What are the specific reviewer guidelines from the latest ACL/EMNLP CFPs mentioned in the email?,Not available,not available,,,RETURN 'No valid path in schema' AS Error,[{'Error': 'No valid path in schema'}],True,"The gold answer is 'Not available', meaning no specific information is expected. The raw database output indicates an error and provides no answer, which is consistent with the gold answer that the information is not available. Therefore, it is considered correct relative to the gold answer."
Who are the researchers involved in the check-in on artifact reproducibility case?,"Prof. Ramesh Bhatia, Dr. Michael Bradley, Dr. Ananya Chatterjee, Sunita Sen",multi-hop,,,"MATCH (p:Person)-[:worksOn]->(t:Task)
WHERE toLower(t.taskName) CONTAINS toLower(""check-in"") OR toLower(t.taskName) CONTAINS toLower(""artifact reproducibility"") OR toLower(t.taskName) CONTAINS toLower(""case"")
RETURN DISTINCT p.personName","[{'p.personName': 'Prof. Ramesh Bhatia'}, {'p.personName': 'Sunita Sen'}, {'p.personName': 'Dr. Michael Bradley'}, {'p.personName': 'Dr. Ananya Chatterjee'}]",True,"The raw database output lists the same four researchers as in the Gold Answer, just in a different order. All names match exactly, so it fully satisfies the user’s question."
Did Sunita Sen provide a Google Meet link for the meeting on 6th May 2019?,TRUE,reasoning,,,"MATCH (p:Person)-[:attends]->(m:Meeting)
WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"") 
  AND m.meetDate IS NOT NULL 
  AND date(m.meetDate).year = 2019 
  AND date(m.meetDate).month = 5 
  AND date(m.meetDate).day = 6 
  AND toLower(m.meetLink) CONTAINS ""google""
RETURN count(m) > 0 AS result",[{'result': True}],True,"The raw database output is True, which matches the Expected Gold Answer of TRUE, so it contains the correct information to satisfy the user’s question."
What feedback did Dr Patel provide for the synthesis meeting?,Not available,not available,,,RETURN 'No valid path in schema' AS Error,[{'Error': 'No valid path in schema'}],True,"The gold answer is 'Not available', meaning the system is not expected to have an answer. The database output indicates an error and does not provide any feedback content, which is consistent with the gold answer indicating no available information. Therefore, it is acceptable and effectively matches the gold answer."
Which task involves integrating historian workflow with model caveats?,Draft integration phase task involves integrating historian workflow with model caveats.,multi-hop,,,"MATCH (t:Task)
WHERE toLower(t.taskName) CONTAINS ""integrat"" AND (toLower(t.taskName) CONTAINS ""historian"" OR toLower(t.taskName) CONTAINS ""workflow"") AND (toLower(t.taskName) CONTAINS ""model"" OR toLower(t.taskName) CONTAINS ""caveat"")
RETURN DISTINCT t.taskName",[],False,"The raw database output is an empty list and does not contain any information about tasks, historian workflow, or model caveats, so it cannot satisfy the user’s question compared to the Gold Answer."
Did Dr. Ananya Chatterjee work on supplementary visualization?,TRUE,reasoning,,,"MATCH (p:Person)-[:worksOn]->(t:Task)
WHERE toLower(p.personName) CONTAINS toLower(""Ananya Chatterjee"") AND (toLower(t.taskName) CONTAINS toLower(""supplementary"") OR toLower(t.taskName) CONTAINS toLower(""visualization""))
RETURN count(t) > 0 AS result",[{'result': True}],True,"The raw database output returns True, which matches the Gold Answer of TRUE, so it correctly satisfies the user’s question."
What are the quantitative metrics used to evaluate the trust in model explanations?,Not available,not available,,,"MATCH (m:Metric)
WHERE (toLower(m.metricName) CONTAINS ""trust"" OR toLower(m.metricName) CONTAINS ""reliab"" OR toLower(m.metricName) CONTAINS ""faith"" OR toLower(m.metricName) CONTAINS ""confidence"")
RETURN DISTINCT m.metricName","[{'m.metricName': 'faithfulness indices'}, {'m.metricName': 'trustworthiness'}, {'m.metricName': 'faithfulness metrics'}, {'m.metricName': 'faithfulness'}, {'m.metricName': 'Likert-scale (1-5) on clarity, faithfulness, and trustworthiness'}, {'m.metricName': 'faithfulness ratings'}, {'m.metricName': 'Faithfulness/clarity heatmaps'}, {'m.metricName': 'trust in model explanations'}, {'m.metricName': 'faithfulness rating'}, {'m.metricName': 'annotation inter-rater reliability score'}, {'m.metricName': 'annotation inter-rater reliability'}, {'m.metricName': 'annotation reliability metrics'}, {'m.metricName': 'inter-rater reliability statistics'}, {'m.metricName': 'inter-annotator reliability'}, {'m.metricName': 'reliability metrics'}]",True,"The user asks for quantitative metrics used to evaluate trust in model explanations. The database output lists several relevant metrics and measures (e.g., faithfulness metrics/indices/ratings, Likert-scale ratings on trustworthiness, clarity, and faithfulness, and inter-rater reliability statistics). Even though the gold answer is not available, these outputs directly address the requested quantitative metrics, so the DB output is useful and sufficient to satisfy the question."
