:ID,meetAgenda,meetDate,meetLink,meetTime,:LABEL
mg476,collaborative drafting session for Section 4.2 revision; rapid review of comparative outlines; live drafting of new Section 4.2 content; mapping of NLI-specific considerations; delegation of drafting responsibilities for compliance appendices and bibliography harmonization,16 January,https://meet.google.com/nmt-ksqj-bve,14:30 IST,Meeting
mg477,Section 4.2 collaborative drafting session; high-level alignment of terminology and structural flow; document-level revisions; assign split tasks for compliance appendix revisions and pending bibliography entries,,provisional Google Meet link,14:30 IST,Meeting
mg478,30-minute coordination call,2025-03-08,https://meet.google.com/nlp-jocch-revision,16:00 IST / 10:30 GMT / 2:30 PST,Meeting
mg479,Google Meet call to review progress on revision items and align integration strategies for manuscript and response letter,2026-03-08,,2:30 PST / 16:00 IST / 10:30 GMT,Meeting
mg480,revision coordination call; progress review; sectional discussion; response letter strategy; open issues and next steps,8 March,https://meet.google.com/nlp-jocch-revision,16:00 IST / 10:30 GMT / 2:30 PST,Meeting
mg481,"revision coordination call; progress updates, integration challenges, response letter, open issues & next steps",2022-03-05,Google Meet,,Meeting
mg482,quick call to finalize contentious sections or labeling,,Zoom (to be coordinated),,Meeting
mg483,Zoom call for real-time discussion to expedite final integration,2026-03-16,,,Meeting
mg484,address any remaining cross-sectional issues and finalize our unified response letter,17 March,https://stanford.zoom.us/j/99821342516?pwd=NLPMajorRev2025,19:30 IST,Meeting
mg485,"pre-consolidation Zoom call; agenda includes section-by-section review, redundancy and cohesion, response letter strategy, and final steps & submission timeline",,https://stanford.zoom.us/j/99821342516?pwd=NLPMajorRev2025,19:30 IST,Meeting
mg486,Zoom meeting to discuss JOCCH major revision submission and finalize action steps,2022-03-13,,,Meeting
mg487,final lock-in/Ramesh’s archive,tomorrow,,09:00 IST,Meeting
mg488,finalize the outline and make a decision on the submission venue,post-2026-04-08,Zoom (to be scheduled),,Meeting
mg489,focused one-hour discussion to finalize the outline and next steps,2026-04-10/11,Zoom (link not specified),IST evenings or UK afternoons,Meeting
mg490,scheduling a meeting to discuss outline bullet points and venue selection,2026-04-10/11,,"17:30 IST (13:00 BST, 05:00 PST)",Meeting
mg491,project meeting to discuss manuscript components and venue selection,2025-04-10/11,,"17:30 IST (13:00 BST, 05:00 PST)",Meeting
mg492,"finalization of the methods note/short-form paper outline and venue selection; Brief review of shared outline and section drafts (Google Doc); Discussion of compliance, workflow schema, and supplemental visual materials; Michael’s comparative assessment of EMNLP Demo vs. JDoc Technical Communication; Decision on target venue, next writing assignments, and identification of any data/graphics still needed; Timeline for initial draft completion and possible review checkpoints",2025-04-11,https://ox-ac-uk.zoom.us/j/95416388721?pwd=L1CzvS5m8Bg,17:30 IST,Meeting
